_id,ADDRESS_INFO,NAME,CATEGORY,PHONE,EMAIL,WEBSITE,GEOID,RECEIVED_DATE,ADDRESS_POINT_ID,ADDRESS_NUMBER,LINEAR_NAME_FULL,ADDRESS_FULL,POSTAL_CODE,MUNICIPALITY,CITY,PLACE_NAME,GENERAL_USE_CODE,CENTRELINE,LO_NUM,LO_NUM_SUF,HI_NUM,HI_NUM_SUF,LINEAR_NAME_ID,WARD,WARD_2003,WARD_2021,MI_PRINX,ATTRACTION,MAP_ACCESS,geometry
58,Located on Toronto Island - take ferry from 9 Queen's Quay West to Centre Island,Gibraltar Point Beach,Nature/ Park,416-392-2489,,http://app.toronto.ca/tpha/beach/4.html,8133458,,8133458,443,Lakeshore Ave,443 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,,115001,30096919,443,,,,3802,Spadina-Fort York,28,10,4230440,"Surrounded by eastern cottonwood trees, the Gibraltar Point Beach is located on the southwest shore of Toronto Island Park. The Gibraltar Point Centre for the Arts is walking distance from the beach.",Y,"{""coordinates"": [[-79.38407, 43.61291]], ""type"": ""MultiPoint""}"
59,,Gibson House Museum,Museum,416-395-7432,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/gibson-house-museum/,7131356,,7131356,5172,Yonge St,5172 Yonge St,M2N 5P6,North York,Toronto,Gibson House - Building Grounds,107008,7131350,5172,,,,4733,Willowdale,23,18,3838012,"Operated  by the City of Toronto, the Gibson House is a museum where visitors experience an exquisite farmhouse and learn more about the rural development of the area.",Y,"{""coordinates"": [[-79.4149, 43.76962]], ""type"": ""MultiPoint""}"
60,,Glenn Gould Studio,Performing Arts,833-205-5574,,https://www.cbc.ca/glenngouldstudio/,10598280,,10598280,250,Front St W,250 Front St W,M5V 3G5,former Toronto,Toronto,,115001,10598276,250,,,,3472,Spadina-Fort York,20,10,2650427,"Located on the main floor of the Canadian Broadcasting Centre,  the Glenn Gould Studio is a much-celebrated venue for its state of the art recording facilities and acoustics.",Y,"{""coordinates"": [[-79.38778, 43.64438]], ""type"": ""MultiPoint""}"
61,None,Gooderham Flatiron Building,Landmark,416-392-1975,None,https://www.historicplaces.ca/en/rep-reg/place-lieu.aspx?id=8311,,None,,49,Wellington St E,49 Wellington St E,M5E 1C9,former Toronto,Toronto,None,,,,None,None,None,,Toronto Centre,27,13,,Gooderham Building is a historic office building known for its unique location and triangular architecture.,None,"{""coordinates"": [[-79.37417, 43.64844]], ""type"": ""MultiPoint""}"
62,None,Graffiti Alley,Landmark,416-392-2489,None,https://artwalk.tdwbia.ca/businesses/graffiti-alley-toronto,,None,,513,Queen St W,513 Queen St W,M5V 2B4,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,28,10,,The graffiti hub showcases several blocks of colourful murals and art.,None,"{""coordinates"": [[-79.39847, 43.64792]], ""type"": ""MultiPoint""}"
63,,Guild Park and Gardens (formely known as Guildwood Park),Nature/ Park,416-396-7378,,https://www.toronto.ca/data/parks/prd/facilities/complex/406/index.html,6620192,,6620192,201,Guildwood Pkwy,201 Guildwood Pkwy,M1E 1P5,Scarborough,Toronto,Guildwood Park,115001,30090074,201,,,,8047,Scarborough-Guildwood,43,24,4173415,"A sculptural alluring park and garden, the Guild Park and Gardens is rich in local history and a must-see for locals and visitors alike.",Y,"{""coordinates"": [[-79.19249, 43.74809]], ""type"": ""MultiPoint""}"
64,Approximate address - Located on Toronto Island - take ferry from 9 Queen's Quay West to Hanlan's Point,Hanlan's Point Beach,Nature/ Park,416-392-8196,,https://www.toronto.ca/data/parks/prd/facilities/complex/2541/index.html,8133591,,8133591,695,Lakeshore Ave,695 Lakeshore Ave,M5J 2W2,former Toronto,Toronto,,115001,30056595,695,,,,3802,Spadina-Fort York,28,10,3363008,"Situated on the west shore of Toronto Island Park, this beach is Toronto's only clothing optional beach.",Y,"{""coordinates"": [[-79.39409, 43.61986]], ""type"": ""MultiPoint""}"
65,None,Harbour Square Park,Nature/ Park,416-392-2489,None,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=74&title=Harbour-Square-Park,,None,,25,Queens Quay W,25 Queens Quay W,M5J 2T5,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,28,10,,"Located next to the Toronto Ferry Docks, Harbour Square Park offers downtown folks a spot to sit and watch the ferries travel back and forth to the island.",None,"{""coordinates"": [[-79.37665, 43.64019]], ""type"": ""MultiPoint""}"
66,,Harbourfront Centre,Performing Arts,416-973-4000,,http://www.harbourfrontcentre.com/,11226853,,11226853,235,Queens Quay W,235 Queens Quay W,M5J 2G8,former Toronto,Toronto,,115001,14134888,235,,,,4244,Spadina-Fort York,20,10,1995833,"Popular 10-acre lakeside cultural site offers an eclectic blend of year-round arts, culture and recreation such as concerts, skating, music festivals and dance.",Y,"{""coordinates"": [[-79.38188, 43.63882]], ""type"": ""MultiPoint""}"
67,,Hart House Theatre,Performing Arts,416-978-2452,,https://harthouse.ca/,8128861,,8128861,7,Hart House Crcl,7 Hart House Cir,M5S 3H3,former Toronto,Toronto,Hart House,102008,8128860,7,,,,9333,University-Rosedale,20,11,2984413,"A point of interest in the University of Toronto community, the Hart House Theatre and it's students produce an array of drama, dance, film, and music.",N,"{""coordinates"": [[-79.39434, 43.664]], ""type"": ""MultiPoint""}"
68,,High Park,Nature/ Park,416-338-0338,,http://www.highparktoronto.com/,10250060,,10250060,1873,Bloor St W,1873 Bloor St W,M6R 2Z3,former Toronto,Toronto,,106001,10250061,1873,,,,458,Parkdale-High Park,13,4,3837548,"High Park is one of Torontos largest parks, and attracts visitors each spring for the blooming of its famous cherry blossoms. It also contains attractions and amenities such as recreational programs, a local zoo, a unique playground and a pond.",Y,"{""coordinates"": [[-79.46378, 43.64646]], ""type"": ""MultiPoint""}"
69,,Historic Zion Schoolhouse,Museum,416-395-7435,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/zion-schoolhouse/,14070727,,14070727,1091,Finch Ave E,1091 Finch Ave E,M2J 2X3,North York,Toronto,Historic Zion Schoolhouse - Building Grounds,107008,436952,1091,,,,5589,Don Valley North,33,17,4061863,"Built in 1869, the Historic Zion Schoolhouse has been restored to emulate schooling as it once was in the farming  district of L'Amaroux",Y,"{""coordinates"": [[-79.3634, 43.79037]], ""type"": ""MultiPoint""}"
70,,Hockey Hall of Fame,Attraction,416-360-7765,,https://www.hhof.com/,8676865,,8676865,30,Yonge St,30 Yonge St,M5E 1X8,former Toronto,Toronto,,115001,8676863,30,,,,4733,Toronto Centre,28,13,1981812,"Unique to Toronto, and featuring the Stanley Cup, interactive exhibits, shows, and the finest collection of hockey artifacts in the world.",Y,"{""coordinates"": [[-79.37768, 43.64726]], ""type"": ""MultiPoint""}"
71,,HTO Park,Nature/ Park,416-392-8188,,https://www.toronto.ca/data/parks/prd/facilities/complex/1663/index.html,14069050,,14069050,339,Queens Quay W,339 Queens Quay W,M5V 1A2,former Toronto,Toronto,"Hto Park,Maple Leaf Quay",103005,10223459,339,,,,4244,Spadina-Fort York,20,10,4061713,"Facing the inner harbour with Toronto Island Park in clear viewing,  HTO Park includes an urban beach which is decorated with yellow umbrellas and Muskoka chairs.",Y,"{""coordinates"": [[-79.38817, 43.63779]], ""type"": ""MultiPoint""}"
72,,Hudson's Bay,Landmark,416-861-9111,,https://www.thebay.com/,8677040,,8677040,176,Yonge St,176 Yonge St,M5C 2L7,former Toronto,Toronto,,115001,8676918,176,,,,4733,Toronto Centre,28,13,2103897,"Famously known as being North America's oldest company, the Hudson Bay is a chain of department stores  that operate throughout the country.",Y,"{""coordinates"": [[-79.37988, 43.65197]], ""type"": ""MultiPoint""}"
73,,Humber Arboretum,Nature/ Park,416-675-3111,,https://humber.ca/arboretum/,12387605,,12387605,205,Humber College Blvd,205 Humber College Blvd,M9W 5L7,Etobicoke,Toronto,Humber College Athletic Centre,102006,20232386,205,,,,1827,Etobicoke North,1,1,3212518,"Located nearby the West Humber River Valley, the Humber Arboretum offers trails through environmentally-rich areas like forests, and wetlands.",Y,"{""coordinates"": [[-79.60749, 43.72481]], ""type"": ""MultiPoint""}"
74,,Humber Bay Park West (Humber Bay Butterfly Habitat),Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/1074/index.html,11272401,,11272401,100,Humber Bay Park Rd W,100 Humber Bay Park Rd W,M8V 3X7,Etobicoke,Toronto,Humber Bay Park East,106008,30040668,100,,,,10882,Etobicoke-Lakeshore,6,3,4063710,"Located at a waterfront park at the mouth of Mimico Creek, the Humber Bay Butterfly Habitat is focused on providing habitat for an array of native butterfly species.",Y,"{""coordinates"": [[-79.47727, 43.62416]], ""type"": ""MultiPoint""}"
75,None,iArts Museum,Museum,416-504-2787,None,https://www.iartsmuseum.ca/,,None,,580,King St W,580 King St W,M5V 1M1,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,20,10,,This unique museum features larger-than-life 3D illusions as an immersive experience.,None,"{""coordinates"": [[-79.39944, 43.64489]], ""type"": ""MultiPoint""}"
76,In the Distillery Historic District,Illuminarium Toronto,Attraction,647-368-6070,None,https://www.illuminarium.com/toronto,,None,,28,Gristmill Ln,28 Gristmill Ln,M5A 4R2,former Toronto,Toronto,None,,,,None,None,None,,Spadina-Fort York,20,10,,"An immerseive experience featuring cutting edge visual, audio and projection technology, occasionally hosting shows.",None,"{""coordinates"": [[-79.36061, 43.64993]], ""type"": ""MultiPoint""}"
77,,Isabel Bader Theatre,Performing Arts,416-585-4575,,https://www.vicu.utoronto.ca/hospitality-services/hold-an-event/isabel-bader-theatre/,20169543,,20169543,93,Charles St W,93 Charles St W,M5S 1K5,former Toronto,Toronto,,102008,12631071,93,,,,3146,University-Rosedale,27,11,2862495,"Located at the University of Toronto, this multi-purpose venue seats 500 patrons whether it be for a lecture, workshop, or a theatrical production.",N,"{""coordinates"": [[-79.39257, 43.66731]], ""type"": ""MultiPoint""}"
78,,Jack Layton Ferry Terminal,Transportation,416-392-8193,,https://www.toronto.ca/explore-enjoy/parks-gardens-beaches/toronto-island-park/all-ferry-schedules/,8676757,,8676757,9,Queens Quay W,9 Queens Quay W,M5J 2H3,former Toronto,Toronto,,108008,14678340,9,,,,4244,Spadina-Fort York,28,10,2756535,"Located at the foot of Bay Street and Queens Quay West, the  Jack Layton Ferry Terminal acts as a commuting point to and from the Toronto Island Park with frequent ferry service.",Y,"{""coordinates"": [[-79.37564, 43.64001]], ""type"": ""MultiPoint""}"
79,,James Garden Park,Garden / Conservatory,416-392-8188,,https://www.toronto.ca/data/parks/prd/facilities/complex/3/index.html,20350827,,998509,99,Edenbridge Dr,99 Edenbridge Dr,M9A 4N1,Etobicoke,Toronto,Scarlett Mills Park,106005,909949,61,,,,1524,Etobicoke Centre,4,2,2331546,"Former estate gardens located in Toronto's west end that include rare trees, spring-fed pools, and other seasonal displays.",N,"{""coordinates"": [[-79.51546, 43.67111]], ""type"": ""MultiPoint""}"
80,,Kew Gardens Park,Nature/ Park,416-392-2489,,https://www.toronto.ca/explore-enjoy/parks-recreation/places-spaces/parks-and-recreation-facilities/location/?id=107,7683571,,7683571,2075,Queen St E,2075 Queen St E,M4L 1J1,former Toronto,Toronto,Kew Gardens,106001,7683563,2075,,,,4237,Beaches-East York,32,19,3835122,"Located in The Beaches, Kew Gardens act as one of Toronto's most popular picnic grounds while having access to the boardwalk on the lakeshore.",Y,"{""coordinates"": [[-79.29849, 43.66816]], ""type"": ""MultiPoint""}"
81,,Koerner Hall (at the Telus Centre for Performance and Learning),Performing Arts,416-408-2824,,https://www.rcmusic.com/about-us/telus-centre-for-performance-and-learning,772768,,772768,273,Bloor St W,273 Bloor St W,M5S 1W2,former Toronto,Toronto,,102007,8408552,273,,,,458,University-Rosedale,20,11,3829169,"Koerner Hall is a 1,135 seat venue to provide excellent acoustic sounds for all genres of music in its ""shoebox"" designed venue.",Y,"{""coordinates"": [[-79.39639, 43.66786]], ""type"": ""MultiPoint""}"
82,None,Little Canada,Attraction,647-578-4663,None,https://little-canada.ca/,,None,,10,Dundas St E,10 Dundas St E,M5B 2G9,former Toronto,Toronto,None,,,,None,None,None,,Toronto Centre,27,13,,"This attraction is an immersive joruney through the sights, sounds and wonder of Canada on a miniature scale.",None,"{""coordinates"": [[-79.38084, 43.65669]], ""type"": ""MultiPoint""}"
83,,Mackenzie House,Museum,416-392-6915,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/mackenzie-house/,773899,,773899,82,Bond St,82 Bond St,M5B 1X2,former Toronto,Toronto,Mackenzie House - Building Grounds,107008,1144656,82,,,,3029,Toronto Centre,27,13,3838139,"Mackenzie House is the restored home of William Lyon Mackenzie, Toronto's first Mayor. It is one of 10 museums operated by the City of Toronto.",Y,"{""coordinates"": [[-79.37841, 43.65567]], ""type"": ""MultiPoint""}"
84,,Marie Curtis Park East Beach,Nature/ Park,416-392-2489,,http://app.toronto.ca/tpha/beach/1.html,14077509,,14077509,2,Forty Second St,2 Forty Second St,L3P 7K7,Etobicoke,Toronto,Marie Curtis Park,106001,914923,2,,,,1631,Etobicoke-Lakeshore,6,3,1725205,Located at the mouth of Etobicoke Creek near the foot of Forty-Second Street. Most users of this beach come from the bordering Long Branch community.,Y,"{""coordinates"": [[-79.54054, 43.58572]], ""type"": ""MultiPoint""}"
85,,Massey Hall,Performing Arts,416-872-4255,,https://www.masseyhall.com/,7642517,,7642517,178,Victoria St,178 Victoria St,M5B 1T7,former Toronto,Toronto,,107010,7642502,178,,,,9790,Toronto Centre,27,13,3323556,"Declared a heritage building in  the 1970s, this live events venue acts as a performance venue for various artists.",Y,"{""coordinates"": [[-79.37898, 43.65401]], ""type"": ""MultiPoint""}"
86,,Mattamy Athletic Centre,Sports / Entertainment Venue,416-598-5960,,https://www.mattamyathleticcentre.ca/,30018522,,30018522,50,Carlton St,50 Carlton St,M5B 1J2,former Toronto,Toronto,Ryerson University  Athletic Centre,102008,14023522,50,,,,3116,Toronto Centre,27,13,3326694,"Mattamy Athletic Centre is located within Maple Leafs Garden and is home to the Ryerson Ram's basketball, hockey and volleyball teams.",Y,"{""coordinates"": [[-79.38034, 43.66217]], ""type"": ""MultiPoint""}"
87,,Medieval Times Dinner and Tournament,Performing Arts,416-260-1170,,https://www.medievaltimes.com/,13497566,,13497566,10,Dufferin St,10 Dufferin St,M6K 3C3,former Toronto,Toronto,,107007,20231260,10,,,,557,Spadina-Fort York,19,10,1724342,"A family dinner theatre featuring staged medieval-style games, sword-fighting, and jousting performed by a cast of actors and horses.",Y,"{""coordinates"": [[-79.42553, 43.63263]], ""type"": ""MultiPoint""}"
88,None,Mel Lastman Square,Landmark,416-395-7584,None,https://mlsquare.ca/,,None,,5100,Yonge St,5100 Yonge St,M2N 5V7,North York,Toronto,None,,,,None,None,None,,Willowdale,23,18,,"A public park featuring 20,000 square feet of open space, a garden court, an outdoor amphitheatre, fountains and a reflecting pool.",None,"{""coordinates"": [[-79.41416, 43.76752]], ""type"": ""MultiPoint""}"
89,,Meridian Arts Centre (formerly Toronto Centre for the Arts),Performing Arts,416-733-9388,,http://www.meridianartscentre.com/,14072465,,14072465,5040,Yonge St,5040 Yonge St,M2N 6R8,North York,Toronto,,115001,14067766,5040,,,,4733,Willowdale,23,18,2124525,"This venue features three unique stages to house a multitude of concerts, shows and events.",Y,"{""coordinates"": [[-79.41412, 43.76646]], ""type"": ""MultiPoint""}"
90,,Meridian Hall (formerly Sony Centre for the Performing Arts),Performing Arts,416-368-6161,,http://www.meridianhall.com/,11070359,,11070359,1,Front St E,1 Front St E,M5E 1B2,former Toronto,Toronto,,107010,11070358,1,,,,3471,Toronto Centre,28,13,3311717,"Meridian Hall is a performing arts venue with a range of events that include concerts, dance, and much more.",Y,"{""coordinates"": [[-79.37608, 43.64668]], ""type"": ""MultiPoint""}"
91,,Metro Toronto Convention Centre,Convention & Trade Centres,416-585-8000,,https://www.mtccc.com/,13977191,,13977191,255,Front St W,255 Front St W,M5V 2W6,former Toronto,Toronto,,107002,13975104,255,,,,11078,Spadina-Fort York,20,10,4061888,"Offers more than 600,000 square feet of large exhibit, event, and meeting space.",Y,"{""coordinates"": [[-79.38672, 43.64381]], ""type"": ""MultiPoint""}"
92,,Montgomery's Inn,Museum,416-394-8113,,https://www.toronto.ca/explore-enjoy/history-art-culture/museums/montgomerys-inn/,9340380,,9340380,4709,Dundas St W,4709 Dundas St W,M9A 1A8,Etobicoke,Toronto,,107008,30031177,4709,,,,558,Etobicoke Centre,4,2,3230370,"A museum that was once a historic home, visitors can delve into the lifestyle of a 19th century Irish farm family with access to the bedrooms, kitchen wing and much more.",Y,"{""coordinates"": [[-79.5257, 43.65171]], ""type"": ""MultiPoint""}"
93,,Museum of Contemporary Canadian Art,Gallery,416-530-2500,,https://moca.ca/,8038152,,8038152,158,Sterling Rd,158 Sterling Rd,M6R 2B7,former Toronto,Toronto,,115001,8038141,158,,,,4486,Davenport,18,9,2100309,"A variety of original and thought-provoking exhibitions, promoting innovative art by Canadian and international artists. Over 800 artists have been featured in more than 80 exhibitions and projects.",N,"{""coordinates"": [[-79.44521, 43.6546]], ""type"": ""MultiPoint""}"
94,None,Museum of Illusions Toronto,Museum,416-889-2285,None,https://museumofillusions.ca/,,None,,132,Front St E,132 Front St E,M5A 1E2,former Toronto,Toronto,None,,,,None,None,None,,Toronto Centre,27,13,,The Museum of Illusions offers a wide array of mind-bending exhibits and optical illusions.,None,"{""coordinates"": [[-79.36963, 43.65011]], ""type"": ""MultiPoint""}"
95,,Mysteriously Yours Mystery Dinner Theatre,Performing Arts,647-361-5114,,https://mysteriouslyyours.ca/,7730034,,10430693,33,Gerrard St E,33 Gerrard St W,M5G 1Z4,former Toronto,Toronto,,115001,10430691,2026,,,,4733,University-Rosedale,27,11,2489893,Mysteriously Yours. Mystery Dinner Theatre is a murder mystery dinner theatre located in  Downtown Toronto.,Y,"{""coordinates"": [[-79.38306, 43.65835]], ""type"": ""MultiPoint""}"
96,,Native Earth Performing Arts & Aki Studio,Performing Arts,416-531-1402,,https://www.nativeearth.ca/,30022280,,30022280,585,Dundas St E,585 Dundas St E,M5A 2B7,former Toronto,Toronto,,100002,30025387,585,,,,3334,Toronto Centre,28,13,3217102,Native Earth Performing Arts is a theatre company devoted to the artistic expression of the Indigenous experience. Located in Daniels Spectrum.,Y,"{""coordinates"": [[-79.36207, 43.66006]], ""type"": ""MultiPoint""}"
97,,Old City Hall,Landmark,416-338-0338,,https://www.toronto.ca/311/knowledgebase/kb/docs/articles/Corporate-Real-Estate-Management/facilities-management/old-city-hall-toronto-courthouse.html,8068212,,8068212,60,Queen St W,60 Queen St W,M5H 2M3,former Toronto,Toronto,Old City Hall - Building Grounds,104001,8068215,60,,,,4238,Toronto Centre,27,13,3838088,"Old City Hall is a landmark building that was used as Toronto's second City Hall and is a great example of beautiful architecture. Today, it is used as a courthouse.",Y,"{""coordinates"": [[-79.38171, 43.65251]], ""type"": ""MultiPoint""}"
98,,Onsite Gallery [at] OCADU,Gallery,416-977-6000,,https://www.ocadu.ca/gallery/onsite,7929608,,7929608,199,Richmond St W,199 Richmond St W,M5V 0H4,former Toronto,Toronto,,104008,14025348,199,,,,4277,Spadina-Fort York,20,10,2662467,Onsite [at] OCAD U provides the opportunity and space of an art gallery to exhibit students contemporary work.,Y,"{""coordinates"": [[-79.38807, 43.6495]], ""type"": ""MultiPoint""}"
99,,Osgoode Hall,Landmark,416-947-3300,,https://www.osgoode.yorku.ca/,14200071,,14200071,130,Queen St W,130 Queen St W,M5H 2N6,former Toronto,Toronto,,115001,1145285,130,,,,4238,Spadina-Fort York,27,10,1842308,"Constructed in the 19th century, Osgoode Hall acts as the judicial landmark of Toronto, with institutions like the Ontario Court of Appeal, the Law Society of Upper Canada, and the Divisional Court of the Superior Court of Justice.",Y,"{""coordinates"": [[-79.38578, 43.65202]], ""type"": ""MultiPoint""}"
100,,Polson Pier,Landmark,None,,https://g.co/kgs/rY8Pkrh,9213006,,9213006,11,Polson St,11 Polson St,M5A 1A4,former Toronto,Toronto,,115001,9213005,11,,,,4205,Toronto-Danforth,30,14,2756589,"Located on the water, the Polson Pier is a waterfront property that includes a drive-in cinema, patio bar, concert venues, and much more.",Y,"{""coordinates"": [[-79.35559, 43.64102]], ""type"": ""MultiPoint""}"
101,,Princess of Wales Theatre,Performing Arts,1-800-461-3333,,https://www.mirvish.com/theatres/princess-of-wales-theatre,10180377,,10180377,300,King St W,300 King St W,M5V 1J2,former Toronto,Toronto,,115001,10180374,300,,,,3780,Spadina-Fort York,20,10,1701544,Owned by Mirvish Productions. The Princess of Wales Theatre opened in 1993 and is the home  of many famous theatrical productions,Y,"{""coordinates"": [[-79.38919, 43.64689]], ""type"": ""MultiPoint""}"
102,,Queen Elizabeth Theatre,Performing Arts,416-263-3293,,https://queenelizabeththeatre.ca/,13497595,,13497595,190,Princes' Blvd,190 Princes' Blvd,M6K 3C3,former Toronto,Toronto,,107007,20230465,190,,,,20228,Spadina-Fort York,19,10,4163956,"Located at Exhibition Place, the Queen Elizabeth Theatre is an auditorium that is the venue for various entertainment events",N,"{""coordinates"": [[-79.42137, 43.63271]], ""type"": ""MultiPoint""}"
103,,Queen's Park: Legislative Assembly of Ontario,Landmark,416-325-7500,,https://www.ola.org/en/visit-learn/parliament-government/explore-queens-park,8128874,,8128867,1,Queen's Park,1 Queen's Park,M7A 1A2,former Toronto,Toronto,,115001,30030173,1,,,,4649,University-Rosedale,27,11,3228046,"A variety of free tour options are available all year round to visit Ontarios historic Legislative Building (iconic sandstone Richardson Romanesque style building, completed in 1893).",Y,"{""coordinates"": [[-79.39159, 43.66223]], ""type"": ""MultiPoint""}"
104,,Randolph Centre for the Arts,Performing Arts,416-924-2243,,https://www.randolphcollege.ca/,6924860,,6924860,736,Bathurst St,736 Bathurst St,M5S 2R4,former Toronto,Toronto,,109001,6924849,736,,,,436,University-Rosedale,19,11,1515880,The historic Randolph Theatre is a 500-seat theatre located in a former Gothic revival style church.,N,"{""coordinates"": [[-79.41085, 43.66365]], ""type"": ""MultiPoint""}"
105,,Redpath Sugar Museum,Museum,416-366-3561,,https://www.redpathsugar.com/,8351189,,8351189,95,Queens Quay E,95 Queens Quay E,M5E 1A3,former Toronto,Toronto,,115001,8351188,95,,,,4243,Spadina-Fort York,28,10,2740306,"Located inside the Redpath Refinery, the Redpath Sugar Museum is for those interested in the history of sugar, the development and the role of the Redpath family in Canada's industry sector, and much more.",Y,"{""coordinates"": [[-79.37124, 43.64291]], ""type"": ""MultiPoint""}"
106,,Ripley's Aquarium of Canada,Attraction,647-351-3474,,https://www.ripleyaquariums.com/canada/,30025661,,30025661,288,Bremner Blvd,288 Bremner Blvd,M5V 3L9,former Toronto,Toronto,,106008,13975104,288,,,,11078,Spadina-Fort York,20,10,3212213,"Canadas largest aquarium. Interactive attractions feature over 5.7 million litres of water and more than 16,000 marine animals.",Y,"{""coordinates"": [[-79.38661, 43.64217]], ""type"": ""MultiPoint""}"
107,,Riverdale Farm,Attraction,416-392-6794,,http://riverdalefarmtoronto.ca/,7684079,,7684079,201,Winchester St,201 Winchester St,M4X 1B8,former Toronto,Toronto,,106001,30098184,201,,,,4697,Toronto Centre,28,13,4240791,"On 7.5 acres, Riverdale Farm is an historic working farm with many scenic pathways and farm animals.",Y,"{""coordinates"": [[-79.36173, 43.66697]], ""type"": ""MultiPoint""}"
108,,Riverdale Park (East and West),Nature/ Park,416-392-2489,,https://www.toronto.ca/data/parks/prd/facilities/complex/343/index.html,4840437,,4840437,550,Broadview Ave,550 Broadview Ave,M4K 2N6,former Toronto,Toronto,Riverdale Park East,115001,4840438,550,,,,44,Toronto-Danforth,30,14,3836161,"A Toronto park that is great for all seasons. Riverdale Park West has three multipurpose sport fields, seven tennis courts, an outdoor ice rink, two baseball diamonds, and much more.",Y,"{""coordinates"": [[-79.35637, 43.6684]], ""type"": ""MultiPoint""}"
109,,Rogers Centre,Sports / Entertainment Venue,416-341-1000,,https://www.mlb.com/bluejays/ballpark,5866193,,5866193,1,Blue Jays Way,1 Blue Jays Way,M5V 1J4,former Toronto,Toronto,The Dome,106008,30064794,1,,,,11088,Spadina-Fort York,20,10,3819271,The Rogers Centre is a multipurpose venue. Home to the Toronto Blue Jays (Major League Baseball) and the Toronto Argonauts (Canadian Football League).,Y,"{""coordinates"": [[-79.38943, 43.64155]], ""type"": ""MultiPoint""}"
110,,Rosetta McClain Gardens,Nature/ Park,416-396-7378,,www.toronto.ca/data/parks/prd/facilities/complex/19/index.html,2893748,,2893748,5,Glen Everest Rd,5 Glen Everest Rd,M1N 1J2,Scarborough,Toronto,,106001,30074994,5,,,,7980,Scarborough Southwest,36,20,4094638,"The Rosetta McClain Gardens is a great place to safely see the Scarborough Bluffs and has beautiful rose gardens. There are signs available in braille, textured paths, raised planters, and a ramp to ensure accessibility.",Y,"{""coordinates"": [[-79.25576, 43.69682]], ""type"": ""MultiPoint""}"
111,,Rouge Beach Park,Nature/ Park,416-264-2020,,https://www.toronto.ca/data/parks/prd/facilities/complex/340/index.html,20044128,,20044128,195,Rouge Hills Dr,195 Rouge Hills Dr,M1C 2Y9,Scarborough,Toronto,Rouge Park - Rouge Beach Park,106001,30059747,195,,,,8843,Scarborough-Rouge Park,42,25,4061645,"One of Toronto's designated swimming beaches, Rouge Beach has two distinct areas a white sand beach and a marsh habitat.",Y,"{""coordinates"": [[-79.11853, 43.79314]], ""type"": ""MultiPoint""}"
112,,Rouge National Urban Park,Nature/ Park,416-264-2020,,https://www.pc.gc.ca/en/pn-np/on/rouge,6349679,,6349679,25,Zoo Rd,25 Zoo Rd,M1B 5W8,Scarborough,Toronto,None,115001,6349680,1749,,,,8470,Scarborough-Rouge Park,42,25,3809023,"Canada's first national park within an urban area, the park is Toronto's largest. It features hiking trails, a campground and Rouge Beach.",Y,"{""coordinates"": [[-79.17277, 43.81793]], ""type"": ""MultiPoint""}"
113,None,Rouge Valley Conservation Centre,Nature/ Park,416-282-8265,None,https://www.rvcc.ca/Rouge_Valley_Conservation_Centre.html,,None,,1749,Meadowvale Rd,1749 Meadowvale Rd,M1B 5W8,former Toronto,Toronto,None,,,,None,None,None,,Scarborough-Rouge Park,42,25,,The Centre focuses on environmental restoration and research while also offering interpretive walks and educational programs for the public.,None,"{""coordinates"": [[-79.17101, 43.81904]], ""type"": ""MultiPoint""}"
114,,Roy Thomson Hall,Performing Arts,416-872-4255,,https://www.roythomsonhall.com/,868439,,868439,60,Simcoe St,60 Simcoe St,M5J 2H5,former Toronto,Toronto,,107010,1146180,60,,,,4411,Spadina-Fort York,20,10,2690432,"Opened in 1982, Roy Thomson Hall is home of the Toronto Symphony Orchestra and the Toronto Mendelssohn Choir.",Y,"{""coordinates"": [[-79.38641, 43.64661]], ""type"": ""MultiPoint""}"
115,,Royal Alexandra Theatre,Performing Arts,1-800-461-3333,,https://www.mirvish.com/theatres/royal-alexandra-theatre,7929660,,7929660,260,King St W,260 King St W,M5V 1H9,former Toronto,Toronto,,107002,7929656,260,,,,3780,Spadina-Fort York,20,10,2869253,Owned by Mirvish Productions. The Royal Alexandra Theatre built in beaux-arts architectural style in 1907. It is home to numerous performances and performers.,Y,"{""coordinates"": [[-79.38758, 43.64733]], ""type"": ""MultiPoint""}"
116,,Royal Conservatory of Music,Performing Arts,416-408-2824,,https://www.rcmusic.com/,772768,,772768,273,Bloor St W,273 Bloor St W,M5S 1W2,former Toronto,Toronto,,102007,8408552,273,,,,458,University-Rosedale,20,11,3829169,The Toronto Conservatory of Music was founded in 1886.,Y,"{""coordinates"": [[-79.39631, 43.66796]], ""type"": ""MultiPoint""}"
