_id,BranchCode,PhysicalBranch,BranchName,Address,PostalCode,Website,Telephone,SquareFootage,PublicParking,KidsStop,LeadingReading,CLC,DIH,TeenCouncil,YouthHub,AdultLiteracyProgram,Workstations,ServiceTier,Lat,Long,NBHDNo,NBHDName,TPLNIA,WardNo,WardName,PresentSiteYear,area,score
87,RD,1,Riverdale,"370 Broadview Avenue, Toronto, ON, M4K 2M8",M4K 2M8,https://www.tpl.ca/riverdale,416-393-7720,9658,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,NL,43.665759,-79.353163,68.0,North Riverdale ,0.0,14.0,Toronto-Danforth,1928.0,other,0.402
88,RI,1,Richview,"1806 Islington Avenue, Toronto, ON, M9P 3N3",M9P 3N3,https://www.tpl.ca/richview,416-394-5120,47252,139,1.0,1.0,1.0,1.0,0.0,1.0,0.0,44.0,DL,43.683404,-79.541119,7.0,Willowridge-Martingrove-Richview,1.0,2.0,Etobicoke Centre,1966.0,other,0.722
89,RN,1,Runnymede,"2178 Bloor Street West, Toronto, ON, M6S 1M8",M6S 1M8,https://www.tpl.ca/runnymede,416-393-7697,12034,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,NL,43.651856,-79.473844,88.0,High Park North,0.0,4.0,Parkdale-High Park,1930.0,other,0.393
90,RX,1,Rexdale,"2243 Kipling Avenue, Toronto, ON, M9W 4L5",M9W 4L5,https://www.tpl.ca/rexdale,416-394-5200,5088,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NL,43.72613,-79.573207,4.0,Rexdale-Kipling,1.0,1.0,Etobicoke North,1959.0,other,0.345
91,SA,1,Sanderson,"327 Bathurst Street, Toronto, ON, M5T 1J1",M5T 1J1,https://www.tpl.ca/sanderson,416-393-7653,12702,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,14.0,NL,43.652085,-79.405519,78.0,Kensington-Chinatown ,0.0,10.0,Spadina-Fort York,1979.0,queenwest,0.527
92,SB,0,Sunnybrook Hospital,"2075 Bayview Avenue, Aging and Veterans Care, Kilgour Wing, Toronto, ON, M4N 3M5",M4N 3M5,https://www.tpl.ca/hospital-service,416-480-6100  EXT 62624,,,,,,,,,,,NL,,,,,,,,,other,0.5
93,SC,1,Scarborough Civic Centre,"156 Borough Drive, Toronto, ON, M1P 4N7",M1P 4N7,https://www.tpl.ca/scarborough,416-396-3599,14500,0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,18.0,NL,43.772096,-79.256764,156.0,Bendale -Glen Andrew,1.0,21.0,Scarborough Centre,2015.0,other,0.447
94,SI,1,St. Clair/Silverthorn,"1748 St. Clair Avenue West, Toronto, ON, M6N 1J3",M6N 1J3,https://www.tpl.ca/stclairsilverthorn,416-393-7709,4850,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NL,43.674263,-79.460585,91.0,Weston-Pellam Park,1.0,9.0,Davenport,1981.0,other,0.257
95,SJ,1,St. James Town,"495 Sherbourne Street, Toronto, ON, M4X 1K7",M4X 1K7,https://www.tpl.ca/stjamestown,416-393-7744,7800,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,19.0,NL,43.667263,-79.374467,74.0,North St. James Town ,0.0,13.0,Toronto Centre,2004.0,other,0.353
96,SL,1,St. Lawrence,"171 Front Street East, Toronto, ON, M5A 4H3",M5A 4H3,https://www.tpl.ca/stlawrence,416-393-7655,4833,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,NL,43.649981,-79.368496,166.0,St Lawrence-East Bayfront-The Islands,0.0,13.0,Toronto Centre,1982.0,waterfront,0.363
97,SP,1,Spadina Road,"10 Spadina Road, Toronto, ON, M5R 2S7",M5R 2S7,https://www.tpl.ca/spadina,416-393-7666,3952,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,NL,43.667159,-79.404378,95.0,Annex,0.0,11.0,University-Rosedale,1977.0,annex,0.352
98,ST,1,Steeles,"Bamburgh Gardens Shopping Plaza, C107-375 Bamburgh Circle, Toronto, ON, M1W 3Y1",M1W 3Y1,https://www.tpl.ca/steeles,416-396-8975,5453,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,NL,43.815381,-79.322304,116.0,Steeles ,0.0,22.0,Scarborough-Agincourt,1987.0,other,0.267
99,SW,1,Swansea Memorial,"95 Lavinia Avenue, Toronto, ON, M6S 3H9",M6S 3H9,https://www.tpl.ca/swansea,416-393-7695,1127,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,NL,43.64793,-79.478022,87.0,High Park-Swansea,0.0,4.0,Parkdale-High Park,1959.0,other,0.235
100,SWS,1,S. Walter Stewart,"170 Memorial Park Avenue, Toronto, ON, M4J 2K5",M4J 2K5,https://www.tpl.ca/swalterstewart,416-396-3975,25847,19,1.0,0.0,1.0,0.0,0.0,1.0,1.0,39.0,DL,43.692115,-79.329696,59.0,Danforth Village - East York,0.0,14.0,Toronto-Danforth,1960.0,other,0.685
101,TA,1,Taylor Memorial,"1440 Kingston Road, Toronto, ON, M1N 1R3",M1N 1R3,https://www.tpl.ca/taylor,416-396-8939,5000,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,NL,43.687781,-79.271252,122.0,Birchcliffe-Cliffside,0.0,20.0,Scarborough Southwest,1962.0,other,0.308
102,TH,1,Thorncliffe,"48 Thorncliffe Park Drive, Toronto, ON, M4H 1J7",M4H 1J7,https://www.tpl.ca/thorncliffe,416-396-3865,11034,shared,1.0,1.0,0.0,0.0,0.0,1.0,0.0,19.0,NL,43.702907,-79.342644,55.0,Thorncliffe Park ,1.0,15.0,Don Valley West,1970.0,other,0.495
103,TOD,1,Todmorden Room,"1081 1/2 Pape Ave (at Torrens), Toronto, ON, M4K 3W6",M4K 3W6,https://www.tpl.ca/todmorden,416-396-3875,554,shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,NL,43.691626,-79.349326,58.0,Old East York ,0.0,14.0,Toronto-Danforth,1961.0,other,0.224
104,TRL,1,Toronto Reference Library,"789 Yonge Street, Toronto, ON, M4W 2G8",M4W 2G8,https://www.tpl.ca/torontoreferencelibrary,416-395-5577,426535,0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,213.0,RR,43.671737,-79.386763,98.0,Rosedale-Moore Park ,0.0,11.0,University-Rosedale,1977.0,other,0.595
105,VIR,0,Virtual Library,,,,,  ,,,,,,,,,,RA,,,,,,,,,other,0.5
106,VV,1,Victoria Village,"184 Sloane Avenue, Toronto, ON, M4A 2C4",M4A 2C4,https://www.tpl.ca/victoriavillage,416-395-5950,5383,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,NL,43.736011,-79.312911,43.0,Victoria Village ,1.0,16.0,Don Valley East,1967.0,other,0.36
107,WE,1,Weston,"2 King Street, Toronto, ON, M9N 1K9",M9N 1K9,https://www.tpl.ca/weston,416-394-1016,11944,9,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,NL,43.701796,-79.520585,113.0,Weston ,1.0,5.0,York South-Weston,1914.0,other,0.518
108,WP,1,Woodview Park,"16 Bradstock Road, Toronto, ON, M9M 1M8",M9M 1M8,https://www.tpl.ca/woodview,416-395-5960,4110,shared,0.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,NL,43.739722,-79.538941,22.0,Humbermede ,1.0,7.0,Humber River-Black Creek,1964.0,other,0.323
109,WS,1,Woodside Square,"Woodside Square Mall, 1571 Sandhurst Circle, Toronto, ON, M1V 1V2",M1V 1V2,https://www.tpl.ca/woodside,416-396-8979,9944,shared,0.0,1.0,0.0,0.0,1.0,0.0,0.0,22.0,NL,43.809463,-79.269548,129.0,Agincourt North,0.0,23.0,Scarborough North,1977.0,other,0.451
110,WY,1,Wychwood,"1431 Bathurst Street, Toronto, ON, M5R 3J2",M5R 3J2,https://www.tpl.ca/wychwood,416-393-7683,15798,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,NL,43.682181,-79.417548,96.0,Casa Loma ,0.0,12.0,Toronto-St. Paul's,1916.0,other,0.387
111,YO,1,Yorkville,"22 Yorkville Avenue, Toronto, ON, M4W 1L4",M4W 1L4,https://www.tpl.ca/yorkville,416-393-7660,9053,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,NL,43.671826,-79.388644,95.0,Annex ,0.0,11.0,University-Rosedale,1907.0,other,0.364
112,YW,1,York Woods,"1785 Finch Avenue West, Toronto, ON, M3N 1M6",M3N 1M6,https://www.tpl.ca/yorkwoods,416-395-5980,42176,89,0.0,0.0,1.0,0.0,0.0,1.0,1.0,46.0,DL,43.758893,-79.507267,25.0,Glenfield-Jane Heights ,1.0,7.0,Humber River-Black Creek,1970.0,other,0.632
